epoch,accuracy,loss,val_accuracy,val_loss,avg_bleu,avg_rouge1,avg_rouge2,avg_rougeL,train_accuracy,validation_accuracy,test_accuracy
39,0.862166524,0.754546404,0.832853973,1.254098296,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
40,0.864932775,0.731361926,0.833533049,1.250549436,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
41,0.868278682,0.708269358,0.834332049,1.246016264,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
42,0.870945156,0.686078787,0.835410595,1.238305688,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
43,0.87428081,0.664752066,0.83585012,1.234380126,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
44,0.877237082,0.643118918,0.837727726,1.231213093,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
45,0.88034302,0.622579098,0.83696866,1.225186586,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
46,0.88274008,0.602856874,0.838646472,1.221053839,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
47,0.886595249,0.583065271,0.838846326,1.215997815,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
48,0.889881015,0.563026547,0.840204537,1.213794112,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
49,0.893516302,0.543150485,0.840604007,1.211111665,0.172111946,0.519620043,0.244496609,0.506137563,0.893516302,0.840604007,0.840604007
